Rank,Name,Guild,Faction,DPS,Size,Date,Duration,Head,Neck,Shoulder,Chest,Waist,Legs,Feet,Wrist,Hands,Ring1,Ring2,Trinket1,Trinket2,Back,Weapon1,Weapon2,Ranged,Raid,Phase,Class,Specialisation
68,Gyldnegunner,Rikets Røst,Alliance,48.5,20,May-11,00:40,Zulian Headdress (22720),Animated Chain Necklace (18723),Wild Growth Spaulders (18810),Robes of the Exalted (13346),Corehound Belt (19162),Empowered Leggings (19385),Animist's Boots (19892),Loomguard Armbraces (13969),Harmonious Gauntlets (18527),Fordring's Seal (16058),Cauterizing Band (19140),Second Wind (11819),Briarwood Reed (12930),Hide of the Wild (18510),Azuresong Mageblade (17103),Lei of the Lifegiver (19312),N/A,Zul'Gurub,4,Paladin,Holy
69,Divinewings,N/A,Unknown,48.4,20,May-10,01:34,Starfire Tiara (12604),Tooth of Gnarr (13141),Living Shoulders (15061),Red Dragonscale Breastplate (15047),Thuzadin Sash (18740),Luminary Kilt (11823),Magma Tempered Boots (18824),Loomguard Armbraces (13969),Dracorian Gauntlets (13344),Primalist's Seal (19863),Fordring's Seal (16058),Ward of the Elements (12065),Royal Seal of Eldre'Thalas (18472),Hakkari Loa Cloak (19870),Cold Forged Hammer (20648),Sacred Protector (16998),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
70,Daddyfixit,N/A,Unknown,48.3,20,May-08,01:31,Field Marshal's Lamellar Faceguard (16474),Master Sergeant's Insignia (18443),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Stormpike Cloth Girdle (19094),Marshal's Lamellar Legplates (16475),Marshal's Lamellar Boots (16472),Sergeant Major's Plate Wristguards (18445),Marshal's Lamellar Gloves (16471),Naglering (11669),Don Julio's Band (19325),Hand of Justice (11815),Royal Seal of Eldre'Thalas (18472),Sergeant's Cape (16342),Grand Marshal's Swiftblade (23456),Grand Marshal's Aegis (18825),N/A,Zul'Gurub,4,Paladin,Holy
71,Sieghardt,Condition Inquiry,Alliance,48.2,20,May-29,00:47,Judgment Crown (16955),Jin'do's Evil Eye (19885),Wild Growth Spaulders (18810),Judgment Breastplate (16958),Corehound Belt (19162),Judgment Legplates (16954),Animist's Boots (19892),Judgment Bindings (16951),Judgment Gauntlets (16956),Rosewine Circle (13178),Cauterizing Band (19140),Royal Seal of Eldre'Thalas (18472),Zandalarian Hero Charm (19950),Hakkari Loa Cloak (19870),Aurastone Hammer (17105),Thaurissan's Royal Scepter (11928),N/A,Zul'Gurub,4,Paladin,Holy
72,Wmnsrights,Aethereal,Alliance,48.1,20,May-06,01:28,"Mish'undare, Circlet of the Mind Flayer (19375)",Animated Chain Necklace (18723),Wild Growth Spaulders (18810),Robe of Volatile Power (19145),Mana Igniting Cord (19136),Empowered Leggings (19385),Lawbringer Boots (16859),Loomguard Armbraces (13969),Peacekeeper Gauntlets (20264),Band of Sulfuras (19138),Fordring's Seal (16058),Second Wind (11819),Briarwood Reed (12930),Hide of the Wild (18510),Aurastone Hammer (17105),Malistar's Defender (17106),N/A,Zul'Gurub,4,Paladin,Holy
73,Littlepapito,Nordavind,Alliance,47.9,18,May-24,01:11,Zulian Headdress (22720),Jin'do's Evil Eye (19885),Lieutenant Commander's Lamellar Shoulders (23277),Robes of the Exalted (13346),Eyestalk Cord (18391),Padre's Trousers (18386),Knight-Lieutenant's Lamellar Sabatons (23275),Loomguard Armbraces (13969),Harmonious Gauntlets (18527),Fordring's Seal (16058),Cauterizing Band (19140),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Sapphiron Drape (17078),Lok'amir il Romathis (19360),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
74,Silentblade,N/A,Unknown,47.7,20,Jun-09,01:00,Zulian Headdress (22720),Animated Chain Necklace (18723),Lieutenant Commander's Lamellar Shoulders (23277),Robes of the Exalted (13346),Sash of Mercy (14553),Empowered Leggings (19385),Judgment Sabatons (16957),Loomguard Armbraces (13969),Peacekeeper Gauntlets (20264),Fordring's Seal (16058),Dragonslayer's Signet (18403),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Caretaker's Cape (19530),The Hammer of Grace (11923),Red Dragonscale Protector (19348),N/A,Zul'Gurub,4,Paladin,Holy
75,Krawlol,N/A,Unknown,47.7,19,Jun-05,01:19,Magister's Crown (16686),Pendant of the Fallen Dragon (19371),Elder Wizard's Mantle (13013),Robes of the Exalted (13346),Barrage Girdle (18721),Necropile Leggings (14632),Necropile Boots (14631),Necropile Cuffs (14629),Silkweb Gloves (11634),Band of Rumination (18103),Chivalrous Signet (20505),Second Wind (11819),Shard of the Splithooves (10659),Royal Tribunal Cloak (13376),Mastersmith's Hammer (18048),Gizlock's Hypertech Buckler (17718),N/A,Zul'Gurub,4,Paladin,Holy
76,Yonaha,N/A,Unknown,47.6,20,Jun-21,00:57,Zulian Headdress (22720),Animated Chain Necklace (18723),Lieutenant Commander's Lamellar Shoulders (23277),Judgment Breastplate (16958),Belt of the Ordained (18702),Empowered Leggings (19385),Knight-Lieutenant's Lamellar Sabatons (23275),Loomguard Armbraces (13969),Peacekeeper Gauntlets (20264),Primalist's Seal (19863),Primalist's Band (19920),Briarwood Reed (12930),Second Wind (11819),Resplendent Cloak (14321),Jin'do's Hexxer (19890),Arlokk's Hoodoo Stick (19922),N/A,Zul'Gurub,4,Paladin,Holy
77,Atlsa,N/A,Unknown,47.6,20,May-04,01:17,Field Marshal's Lamellar Faceguard (16474),Animated Chain Necklace (18723),Field Marshal's Lamellar Pauldrons (16476),Robes of the Exalted (13346),Whipvine Cord (18327),Padre's Trousers (18386),Marshal's Lamellar Boots (16472),Loomguard Armbraces (13969),Harmonious Gauntlets (18527),Fordring's Seal (16058),Rosewine Circle (13178),Royal Seal of Eldre'Thalas (18472),Second Wind (11819),Spritecaster Cape (11623),The Hammer of Grace (11923),Lei of the Lifegiver (19312),N/A,Zul'Gurub,4,Paladin,Holy
78,Lighthaven,Truefaith,Alliance,47.5,18,Jun-07,01:04,Zulian Headdress (22720),Tooth of Gnarr (13141),Wild Growth Spaulders (18810),Judgment Breastplate (16958),Sash of Mercy (14553),Peacekeeper Leggings (20266),Judgment Sabatons (16957),Loomguard Armbraces (13969),Gloves of Restoration (18309),Band of Rumination (18103),Ring of Demonic Guile (18314),Royal Seal of Eldre'Thalas (18472),Second Wind (11819),Archivist Cape (13386),Jin'do's Hexxer (19890),Lei of the Lifegiver (19312),Libram of Hope (22401),Zul'Gurub,4,Paladin,Holy
79,Glasass,Rote Rakete,Alliance,47.4,20,May-11,00:38,Zulian Headdress (22720),Animated Chain Necklace (18723),Living Shoulders (15061),Robes of the Exalted (13346),Corehound Belt (19162),Salamander Scale Pants (18875),Lawbringer Boots (16859),Loomguard Armbraces (13969),Harmonious Gauntlets (18527),Cauterizing Band (19140),Fordring's Seal (16058),Briarwood Reed (12930),Rejuvenating Gem (19395),Hide of the Wild (18510),Grand Marshal's Warhammer (23454),Lei of the Lifegiver (19312),N/A,Zul'Gurub,4,Paladin,Holy
80,Slapadabass,N/A,Unknown,47.2,17,Jun-10,01:24,Field Marshal's Lamellar Faceguard (16474),Jin'do's Evil Eye (19885),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Whipvine Cord (18327),Marshal's Lamellar Legplates (16475),Marshal's Lamellar Boots (16472),Zandalar Freethinker's Armguards (19827),Marshal's Lamellar Gloves (16471),Songstone of Ironforge (12543),Fordring's Seal (16058),Second Wind (11819),Royal Seal of Eldre'Thalas (18472),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Warhammer (23454),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
81,Buffbrisket,Ready Set Wipe (official),Alliance,47,15,May-25,01:15,Judgment Crown (16955),Animated Chain Necklace (18723),Judgment Spaulders (16953),Robes of the Exalted (13346),Corehound Belt (19162),Judgment Legplates (16954),Magma Tempered Boots (18824),Judgment Bindings (16951),Judgment Gauntlets (16956),Songstone of Ironforge (12543),Fordring's Seal (16058),Royal Seal of Eldre'Thalas (18472),Second Wind (11819),Spritecaster Cape (11623),Zulian Scepter of Rites (22713),Arlokk's Hoodoo Stick (19922),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
82,Uthillon,Solstice,Alliance,46.9,20,May-27,01:10,Judgment Crown (16955),Pendant of the Fallen Dragon (19371),Judgment Spaulders (16953),Field Marshal's Lamellar Chestplate (16473),Judgment Belt (16952),Marshal's Lamellar Legplates (16475),Judgment Sabatons (16957),Zandalar Freethinker's Armguards (19827),Marshal's Lamellar Gloves (16471),Rosewine Circle (13178),Band of Sulfuras (19138),Briarwood Reed (12930),Shard of the Scale (17064),Hide of the Wild (18510),Grand Marshal's Warhammer (23454),Grand Marshal's Tome of Restoration (23453),Libram of Hope (22401),Zul'Gurub,4,Paladin,Holy
83,美男子,N/A,Unknown,45.8,20,May-28,01:06,Judgment Crown (16955),Animated Chain Necklace (18723),Judgment Spaulders (16953),Robes of the Exalted (13346),Judgment Belt (16952),Judgment Legplates (16954),Judgment Sabatons (16957),Loomguard Armbraces (13969),Peacekeeper Gauntlets (20264),Dragonslayer's Signet (18403),Fordring's Seal (16058),Briarwood Reed (12930),Second Wind (11819),Hide of the Wild (18510),Zulian Scepter of Rites (22713),Arlokk's Hoodoo Stick (19922),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
84,Suhlami,N/A,Unknown,45.6,20,Jul-03,01:05,Judgment Crown (16955),Jeklik's Opaline Talisman (19923),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Zandalar Freethinker's Belt (19826),Salamander Scale Pants (18875),Marshal's Lamellar Boots (16472),Zandalar Freethinker's Armguards (19827),Gloves of Restoration (18309),Band of Servitude (22721),Ring of Blackrock (19397),Royal Seal of Eldre'Thalas (18472),Zandalarian Hero Charm (19950),Hakkari Loa Cloak (19870),Zulian Scepter of Rites (22713),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
85,Kairâ,N/A,Unknown,45.6,20,May-17,01:12,Insightful Hood (18490),Animated Chain Necklace (18723),Living Shoulders (15061),Robes of the Exalted (13346),Judgment Belt (16952),Ritualistic Legguards (19899),Lawbringer Boots (16859),Loomguard Armbraces (13969),Harmonious Gauntlets (18527),Dimly Opalescent Ring (18684),Songstone of Ironforge (12543),Rune of the Dawn (19812),Briarwood Reed (12930),Hide of the Wild (18510),Zulian Scepter of Rites (22713),Brightly Glowing Stone (18523),N/A,Zul'Gurub,4,Paladin,Holy
86,Meetym,B R I C K E D,Alliance,45.5,17,May-29,00:56,Judgment Crown (16955),Animated Chain Necklace (18723),Wild Growth Spaulders (18810),Judgment Breastplate (16958),Judgment Belt (16952),Salamander Scale Pants (18875),Judgment Sabatons (16957),Loomguard Armbraces (13969),Judgment Gauntlets (16956),Fordring's Seal (16058),Pure Elementium Band (19382),Hibernation Crystal (20636),Rejuvenating Gem (19395),Hide of the Wild (18510),Grand Marshal's Warhammer (23454),Grand Marshal's Tome of Restoration (23453),N/A,Zul'Gurub,4,Paladin,Holy
87,瞻望,N/A,Unknown,45.2,20,May-06,01:23,Crown of Destruction (18817),Orb of the Darkmoon (19426),Wild Growth Spaulders (18810),Robe of Volatile Power (19145),Sash of Mercy (14553),Salamander Scale Pants (18875),Boots of the Full Moon (18507),Bracers of Prosperity (18525),Lawbringer Gauntlets (16860),Fordring's Seal (16058),Primalist's Seal (19863),Zandalarian Hero Charm (19950),Royal Seal of Eldre'Thalas (18472),Hide of the Wild (18510),Lok'amir il Romathis (19360),Brightly Glowing Stone (18523),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
88,Staryi,N/A,Unknown,44.9,20,Jun-06,01:08,Judgment Crown (16955),Mark of Fordring (15411),Lawbringer Spaulders (16856),Zandalar Freethinker's Breastplate (19825),Zandalar Freethinker's Belt (19826),Lawbringer Legplates (16855),Lawbringer Boots (16859),Zandalar Freethinker's Armguards (19827),Lawbringer Gauntlets (16860),Flaming Band (12926),Band of Rumination (18103),Mark of the Chosen (17774),Royal Seal of Eldre'Thalas (18472),Hakkari Loa Cloak (19870),Zulian Scepter of Rites (22713),Zulian Defender (19915),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
89,亚洲鸟王,N/A,Unknown,44.7,19,May-18,01:29,Judgment Crown (16955),Pendant of the Fallen Dragon (19371),Judgment Spaulders (16953),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Judgment Sabatons (16957),Judgment Bindings (16951),Judgment Gauntlets (16956),Ring of Blackrock (19397),Pure Elementium Band (19382),Rejuvenating Gem (19395),Briarwood Reed (12930),Shroud of Pure Thought (19430),Aurastone Hammer (17105),Red Dragonscale Protector (19348),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
90,Steamyturd,N/A,Unknown,44.7,20,May-16,00:54,Zulian Headdress (22720),Jin'do's Evil Eye (19885),Wild Growth Spaulders (18810),Robe of Volatile Power (19145),Corehound Belt (19162),Empowered Leggings (19385),Boots of the Full Moon (18507),Loomguard Armbraces (13969),Peacekeeper Gauntlets (20264),Fordring's Seal (16058),Rosewine Circle (13178),Shard of the Scale (17064),Briarwood Reed (12930),Onyxia Scale Cloak (15138),Azuresong Mageblade (17103),Red Dragonscale Protector (19348),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
91,恭熙發財,N/A,Unknown,44.4,18,May-02,01:30,Judgment Crown (16955),Choker of the Fire Lord (18814),Wild Growth Spaulders (18810),Robes of the Exalted (13346),Corehound Belt (19162),Salamander Scale Pants (18875),Boots of Pure Thought (19437),Lawbringer Bracers (16857),Judgment Gauntlets (16956),Fordring's Seal (16058),Rosewine Circle (13178),Briarwood Reed (12930),Royal Seal of Eldre'Thalas (18472),Hide of the Wild (18510),Azuresong Mageblade (17103),Red Dragonscale Protector (19348),N/A,Zul'Gurub,4,Paladin,Holy
92,Vicarious,N/A,Unknown,44.3,20,Jun-01,00:53,Insightful Hood (18490),Animated Chain Necklace (18723),Royal Cap Spaulders (14548),Robes of the Exalted (13346),Corehound Belt (19162),Salamander Scale Pants (18875),Boots of Pure Thought (19437),Loomguard Armbraces (13969),Harmonious Gauntlets (18527),Pure Elementium Band (19382),Fordring's Seal (16058),Second Wind (11819),Briarwood Reed (12930),Hide of the Wild (18510),Grand Marshal's Warhammer (23454),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
93,Vindpinad,N/A,Unknown,43.8,20,May-04,01:17,Chief Architect's Monocle (11839),Stormpike Sage's Pendant (19098),Royal Cap Spaulders (14548),Robes of the Exalted (13346),Lawbringer Belt (16858),Ghoul Skin Leggings (18682),Knight-Lieutenant's Lamellar Sabatons (23275),Loomguard Armbraces (13969),Dracorian Gauntlets (13344),Quicksilver Ring (11991),Woodseed Hoop (17768),Sanctified Orb (20512),Royal Seal of Eldre'Thalas (18472),Spritecaster Cape (11623),Hand of Righteousness (7721),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
94,Zynrixza,ESTI KIKAPCS,Alliance,43.8,20,May-16,01:05,"Mish'undare, Circlet of the Mind Flayer (19375)",Animated Chain Necklace (18723),Wild Growth Spaulders (18810),Robes of the Exalted (13346),Corehound Belt (19162),Empowered Leggings (19385),Boots of the Full Moon (18507),Loomguard Armbraces (13969),Peacekeeper Gauntlets (20264),Fordring's Seal (16058),Rosewine Circle (13178),Second Wind (11819),Briarwood Reed (12930),Hide of the Wild (18510),Grand Marshal's Warhammer (23454),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
95,Dko,N/A,Unknown,43.3,20,May-08,00:37,Judgment Crown (16955),Animated Chain Necklace (18723),Lawbringer Spaulders (16856),Robes of the Exalted (13346),Barrage Girdle (18721),Padre's Trousers (18386),Verdant Footpads (13954),Loomguard Armbraces (13969),Atal'ai Gloves (10787),Fordring's Seal (16058),Songstone of Ironforge (12543),Second Wind (11819),Royal Seal of Eldre'Thalas (18472),Shroud of Pure Thought (19430),Jin'do's Hexxer (19890),Lei of the Lifegiver (19312),N/A,Zul'Gurub,4,Paladin,Holy
96,Jerryrigged,N/A,Unknown,43.3,17,Jun-08,01:06,Zulian Headdress (22720),Stormpike Sage's Pendant (19098),Living Shoulders (15061),Wildheart Vest (16706),Abyssal Plate Girdle (20673),Peacekeeper Leggings (20266),Peacekeeper Boots (20265),Brazecore Armguards (13179),Peacekeeper Gauntlets (20264),Songstone of Ironforge (12543),Woodseed Hoop (17768),Zandalarian Hero Charm (19950),Second Wind (11819),Hakkari Loa Cloak (19870),Renataki's Soul Conduit (19964),Malistar's Defender (17106),N/A,Zul'Gurub,4,Paladin,Holy
97,Striké,Olympus,Alliance,43.3,17,May-22,01:04,Judgment Crown (16955),Pendant of the Fallen Dragon (19371),Judgment Spaulders (16953),Robe of Volatile Power (19145),Corehound Belt (19162),Judgment Legplates (16954),Boots of the Full Moon (18507),Gallant's Wristguards (18459),Taut Dragonhide Gloves (19390),Cauterizing Band (19140),Pure Elementium Band (19382),Briarwood Reed (12930),Royal Seal of Eldre'Thalas (18472),Hide of the Wild (18510),Azuresong Mageblade (17103),Lei of the Lifegiver (19312),N/A,Zul'Gurub,4,Paladin,Holy
98,胖灬丁,N/A,Unknown,43.2,20,May-26,01:42,Insightful Hood (18490),Tempest Talisman (18317),Wild Growth Spaulders (18810),Robe of Volatile Power (19145),Corehound Belt (19162),Salamander Scale Pants (18875),Peacekeeper Boots (20265),Judgment Bindings (16951),Peacekeeper Gauntlets (20264),Band of Rumination (18103),Fordring's Seal (16058),Shard of the Scale (17064),Royal Seal of Eldre'Thalas (18472),Hide of the Wild (18510),Lok'amir il Romathis (19360),Thaurissan's Royal Scepter (11928),N/A,Zul'Gurub,4,Paladin,Holy
99,Seríouz,N/A,Unknown,43,20,May-16,01:09,Judgment Crown (16955),Tooth of Gnarr (13141),Lieutenant Commander's Lamellar Shoulders (23277),Robes of the Exalted (13346),Zandalar Freethinker's Belt (19826),Salamander Scale Pants (18875),Knight-Lieutenant's Lamellar Sabatons (23275),Loomguard Armbraces (13969),Gloves of Restoration (18309),Fordring's Seal (16058),Songstone of Ironforge (12543),Royal Seal of Eldre'Thalas (18472),Second Wind (11819),Spritecaster Cape (11623),Azuresong Mageblade (17103),Lei of the Lifegiver (19312),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Holy
100,桃芝幺幺,N/A,Unknown,43,20,Jul-03,01:10,Judgment Crown (16955),Amulet of the Redeemed (22327),Judgment Spaulders (16953),Soulforge Breastplate (22089),Judgment Belt (16952),Salamander Scale Pants (18875),Judgment Sabatons (16957),Judgment Bindings (16951),Peacekeeper Gauntlets (20264),Primalist's Band (19920),Primalist's Seal (19863),Royal Seal of Eldre'Thalas (18472),Mindtap Talisman (18371),Hakkari Loa Cloak (19870),Lok'amir il Romathis (19360),Red Dragonscale Protector (19348),N/A,Zul'Gurub,4,Paladin,Holy
1,Trashbirb,dear all,Alliance,582.1,16,May-18,01:06,Judgment Crown (16955),Choker of the Fire Lord (18814),Field Marshal's Lamellar Pauldrons (16476),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Marshal's Lamellar Boots (16472),Judgment Bindings (16951),Marshal's Lamellar Gloves (16471),Band of Servitude (22721),Heavy Dark Iron Ring (18879),Talisman of Ephemeral Power (18820),Zandalarian Hero Charm (19950),Cloak of the Brood Lord (19378),Lok'amir il Romathis (19360),Force Reactive Disk (18168),Libram of Hope (22401),Zul'Gurub,4,Paladin,Protection
2,Efry,N/A,Unknown,477.6,20,Jun-13,00:38,Lizardscale Eyepatch (19945),Onyxia Tooth Pendant (18404),Judgment Spaulders (16953),Zandalar Freethinker's Breastplate (19825),Therazane's Link (19380),Legguards of the Fallen Crusader (19402),Marshal's Lamellar Boots (16472),Primal Batskin Bracers (19687),Marshal's Lamellar Gloves (16471),Don Julio's Band (19325),Myrmidon's Signet (2246),Hand of Justice (11815),Darkmoon Card: Maelstrom (19289),Might of the Tribe (22712),"Ashkandi, Greatsword of the Brotherhood (19364)",N/A,N/A,Zul'Gurub,4,Paladin,Protection
3,Сакросанкт,Р е в а н ш,Alliance,474.1,15,May-25,01:31,Judgment Crown (16955),Medallion of Steadfast Might (17065),Judgment Spaulders (16953),Field Marshal's Lamellar Chestplate (16473),Judgment Belt (16952),Judgment Legplates (16954),Marshal's Lamellar Boots (16472),Judgment Bindings (16951),Marshal's Lamellar Gloves (16471),Naglering (11669),Don Julio's Band (19325),Blackhand's Breadth (13965),Hand of Justice (11815),Zulian Tigerhide Cloak (19907),Grand Marshal's Swiftblade (23456),Grand Marshal's Aegis (18825),N/A,Zul'Gurub,4,Paladin,Protection
4,Volnar,House Telvanni,Alliance,410.8,19,May-18,01:13,Judgment Crown (16955),Eskhandar's Collar (18205),Judgment Spaulders (16953),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Judgment Sabatons (16957),Lawbringer Bracers (16857),Marshal's Lamellar Gloves (16471),Naglering (11669),Overlord's Crimson Band (19873),Hand of Justice (11815),Force of Will (11810),Stormpike Sage's Cloak (19086),Flurry Axe (871),Skullflame Shield (1168),N/A,Zul'Gurub,4,Paladin,Protection
5,Bonfield,N/A,Unknown,400.5,20,May-02,01:08,Field Marshal's Lamellar Faceguard (16474),Medallion of Steadfast Might (17065),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Deathbone Girdle (14620),Marshal's Lamellar Legplates (16475),Marshal's Lamellar Boots (16472),Judgment Bindings (16951),Marshal's Lamellar Gloves (16471),Cyclopean Band (11824),Songstone of Ironforge (12543),Briarwood Reed (12930),Styleen's Impeding Scarab (19431),Cloak of the Brood Lord (19378),Flurry Axe (871),Skullflame Shield (1168),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Protection
6,Theodore,Azeroth Coffee Company,Alliance,395.3,19,Jun-19,01:01,Crown of Destruction (18817),Onyxia Tooth Pendant (18404),Drake Talon Pauldrons (19394),Savage Gladiator Chain (11726),Therazane's Link (19380),Marshal's Lamellar Legplates (16475),Chromatic Boots (19387),Vambraces of the Sadist (13400),Marshal's Lamellar Gloves (16471),Don Julio's Band (19325),Circle of Applied Force (19432),Hand of Justice (11815),Blackhand's Breadth (13965),Cape of the Black Baron (13340),Bonereaver's Edge (17076),N/A,Libram of Hope (22401),Zul'Gurub,4,Paladin,Protection
7,Aedris,Gadgetzan Globetrotters,Alliance,389.1,20,Jul-08,00:54,Judgment Crown (16955),Jeklik's Opaline Talisman (19923),Field Marshal's Lamellar Pauldrons (16476),Judgment Breastplate (16958),Girdle of the Fallen Crusader (19392),Marshal's Lamellar Legplates (16475),Marshal's Lamellar Boots (16472),Zandalar Freethinker's Armguards (19827),Judgment Gauntlets (16956),Band of Servitude (22721),Songstone of Ironforge (12543),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Brood Lord (19378),Grand Marshal's Swiftblade (23456),Grand Marshal's Aegis (18825),Libram of Hope (22401),Zul'Gurub,4,Paladin,Protection
8,Helbram,N/A,Unknown,388.2,19,May-17,00:56,Helm of Endless Rage (19372),Onyxia Tooth Pendant (18404),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Therazane's Link (19380),Marshal's Lamellar Legplates (16475),Marshal's Lamellar Boots (16472),Judgment Bindings (16951),Marshal's Lamellar Gloves (16471),Don Julio's Band (19325),Band of Servitude (22721),Blackhand's Breadth (13965),Hand of Justice (11815),Zulian Tigerhide Cloak (19907),Grand Marshal's Claymore (18876),N/A,Egan's Blaster (13289),Zul'Gurub,4,Paladin,Protection
9,Tabula,N/A,Unknown,385.4,18,May-25,01:24,Field Marshal's Lamellar Faceguard (16474),Master Dragonslayer's Medallion (19383),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Girdle of the Fallen Crusader (19392),Marshal's Lamellar Legplates (16475),Marshal's Lamellar Boots (16472),Judgment Bindings (16951),Marshal's Lamellar Gloves (16471),Overlord's Onyx Band (19912),Overlord's Crimson Band (19873),Hand of Justice (11815),Zandalarian Hero Charm (19950),Dragon's Blood Cape (17107),Grand Marshal's Swiftblade (23456),Grand Marshal's Aegis (18825),N/A,Zul'Gurub,4,Paladin,Protection
10,Sarkomer,Sturm des Schicksals,Alliance,375.2,20,May-15,00:55,Crown of Destruction (18817),Onyxia Tooth Pendant (18404),Field Marshal's Lamellar Pauldrons (16476),Field Marshal's Lamellar Chestplate (16473),Girdle of the Fallen Crusader (19392),Legguards of the Fallen Crusader (19402),Marshal's Lamellar Boots (16472),Battleborn Armbraces (12936),Marshal's Lamellar Gloves (16471),Blackstone Ring (17713),Don Julio's Band (19325),Darkmoon Card: Maelstrom (19289),Hand of Justice (11815),Pale Moon Cloak (18734),Grand Marshal's Claymore (18876),N/A,N/A,Zul'Gurub,4,Paladin,Protection
11,Hongtongbong,N/A,Unknown,374.7,20,Jun-10,01:07,Judgment Crown (16955),Master Dragonslayer's Medallion (19383),Judgment Spaulders (16953),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Knight-Lieutenant's Lamellar Sabatons (23275),Judgment Bindings (16951),Judgment Gauntlets (16956),Ring of Blackrock (19397),Band of Servitude (22721),Styleen's Impeding Scarab (19431),Zandalarian Hero Charm (19950),Overlord's Embrace (19888),Quel'Serrar (18348),Aegis of the Blood God (19862),N/A,Zul'Gurub,4,Paladin,Protection
12,Cûpcake,Dîe Glückbärchis,Alliance,339.4,19,Jul-05,01:10,Judgment Crown (16955),Master Dragonslayer's Medallion (19383),Judgment Spaulders (16953),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Judgment Sabatons (16957),Judgment Bindings (16951),Judgment Gauntlets (16956),Band of Servitude (22721),Heavy Dark Iron Ring (18879),Zandalarian Hero Charm (19950),Talisman of Ephemeral Power (18820),Cloak of the Brood Lord (19378),Flurry Axe (871),Elementium Reinforced Bulwark (19349),Libram of Hope (22401),Zul'Gurub,4,Paladin,Protection
13,Losthalia,N/A,Unknown,339.2,16,May-12,01:18,Judgment Crown (16955),Tooth of Gnarr (13141),Judgment Spaulders (16953),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Judgment Sabatons (16957),Judgment Bindings (16951),Judgment Gauntlets (16956),Songstone of Ironforge (12543),Band of Servitude (22721),Briarwood Reed (12930),Styleen's Impeding Scarab (19431),Spritecaster Cape (11623),Quel'Serrar (18348),Elementium Reinforced Bulwark (19349),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Protection
14,Instaqueue,N/A,Unknown,337.6,20,Jun-03,00:56,Judgment Crown (16955),Medallion of Steadfast Might (17065),Judgment Spaulders (16953),Judgment Breastplate (16958),Judgment Belt (16952),Judgment Legplates (16954),Judgment Sabatons (16957),Judgment Bindings (16951),Judgment Gauntlets (16956),Overlord's Crimson Band (19873),Naglering (11669),Essence of the Pure Flame (18815),Styleen's Impeding Scarab (19431),Cloak of Flames (3475),Quel'Serrar (18348),Skullflame Shield (1168),Egan's Blaster (13289),Zul'Gurub,4,Paladin,Protection
